point,width,curvature,angle,x,y,apps,brake,steering_position
1180,5,-0.000186289938768546,3.14138945395248,356.426032963991,83.7985168380496,21.9495243370986,-0,0.0156300209880495
1185,5,6.49486841409906e-05,3.14108610081591,361.424909856044,83.6925471528359,21.0487989885668,-0,0.123190252830865
1190,5,0.000135985810927145,3.14158843705358,366.423821902415,83.5882488046667,20.0023473747017,-0,0.151511125210258
1195,5,8.95802180710988e-05,3.14215235212608,371.422767317571,83.4855623505564,18.8644736467231,-0,0.116419017540612
1200,5,6.23068826748344e-05,3.14253206987794,376.421746218659,83.3845191566819,17.8152576942528,-0,0.0993454396157379
1205,5,6.07705165706486e-05,3.14283976337606,381.420755929329,83.2850117988528,16.7532045241966,-0,0.101429510197212
1210,5,6.06383568805131e-05,3.14314328555968,386.41979550501,83.1870161832556,15.7294343580663,-0,0.0960247562193455
1215,5,6.01737789985028e-05,3.14344531589938,391.418865818332,83.0906014446078,9.34047728121699,-0,0.0921321768274532
1220,5,5.93706090442705e-05,3.14374417686949,396.417963933645,82.9956390766856,8.46562700686133,-0,0.0904294323981671
1225,5,5.83569176512594e-05,3.14403849568623,401.417089028454,82.902107813571,7.67015900450363,-0,0.0870979391663859
1230,5,5.79911088984445e-05,3.1443293657526,406.416243532839,82.8101620281945,6.98170411246724,-0,0.0852256357107195
